id,date,username,text,geo
1223033000318971907,2020-01-30 23:59:24+00:00,pedrofaia_pf,Oh diabo... A ver se o brexit não me fode no preço! el. Corte. Inglês. (Ba dum tsss),
1223031369116405762,2020-01-30 23:52:55+00:00,will_pulido,"En El Corte Inglés de Mesa y López en Las Palmas de Gran Canaria, la semana pasada tenía un buen tocho de ellas.",
1223030661579255809,2020-01-30 23:50:07+00:00,alberto2lopez,"El turismo cultural casi le gana ya la batalla al sol y playa en la provincia de Málaga. El sol y playa interesa al 22,6% de los visitantes, la cultura los sigue de cerca con un 21,72%; según un informe de Aehcos, El Corte Inglés y Mabrian. ",
1223029929786445824,2020-01-30 23:47:12+00:00,Ire_21,Segun ponia en el email (el que me llego de el corte ingles) se puede llevar en el movil... paranoia a tope ,
1223028665958785025,2020-01-30 23:42:11+00:00,richard_ismana,"El Corte Inglés cerrará sus centros de Arapiles (calle de Arapiles, 10) de Ventas (Avenida de la Plaza de Toros) y de Serrano Man (calle Serrano, 52) por «pérdidas recurrentes» según informa en exclusiva El Confidencial este martes 29 de enero de 2020 Esto en Madrid ciudad",
1223026389466656774,2020-01-30 23:33:08+00:00,Manasav_ES," Vestido de mujer Scalpers manga larga con estampado Costaba 89€ y ha bajado un 43.93% de precio, se queda en 49.9€ Accede a la oferta en =&gt; http://app.manasav.com/preview?productId=-Ltk__wg_c_KIgaBfn8K Tienda: El Corte Inglés ",
1223025315724890114,2020-01-30 23:28:52+00:00,Nata_Q,El año pasado en El Corte Inglés estaba TODO a 70% de descuento. No tenia cómo diantres meter más peso en la maleta.,
1223023408738422785,2020-01-30 23:21:17+00:00,Manasav_ES," Blusa de mujer Scalpers de manga larga morado Costaba 79€ y ha bajado un 39.37% de precio, se queda en 47.9€ Accede a la oferta en =&gt; http://app.manasav.com/preview?productId=-Lt6R_uSaIpdxsm-JwVp Tienda: El Corte Inglés ",
1223022197612171264,2020-01-30 23:16:29+00:00,Mislu96,Entonces El Corte Ingles no lo pienses mas,
1223021600154492930,2020-01-30 23:14:06+00:00,Teresaperezcep1,"Pues yo he viajado con mi familia a Disney con Viajes El Corte Ingles, y resulto un viaje fantástico, maravillosamente bien organizado.",
