id,date,username,text,geo
1277704799383949313,2020-06-29 20:45:37+00:00,jiarguelles,"Pues en la calle lo único distinto en la ""nueva normalidad"" es que algunas personas llevan mascarilla. Por lo demás, todo igual: aglomeraciones, señores empujándome mientras ves un pijama en El Corte Inglés y bares abarrotados (uno en la C/Independencia el domingo era flipante)",
1277703659539836934,2020-06-29 20:41:05+00:00,joseej51,el corte inglés con el tema de la pandemia explotado bien a sus clientes llevándolos por 100 € hasta bufetes de abogados qué poca vergüenza ajena pero ellos se creen que son más que nadie y hay muchos mejores centros de el corte inglés ha perdido clase categoría yeducacion,
1277703139987087361,2020-06-29 20:39:01+00:00,notasdelquijote,Anuncio EL CORTE INGLÉS - Rebajas de verano con distanciamiento social ,
1277702780178874371,2020-06-29 20:37:36+00:00,flawlessnefilim,Lo regalan en El Corte Inglés cuando compras el libro de Los manuscritos rojos de la magia,
1277702743453577217,2020-06-29 20:37:27+00:00,dc5fd0556e6242b,"Moody's confirma el 'rating' de El Corte Inglés, pero empeora su perspectiva ",
1277702136625692672,2020-06-29 20:35:02+00:00,Cotizalia,"Moody's confirma el 'rating' de El Corte Inglés, pero empeora su perspectiva https://bit.ly/3ikXeTB",
1277702009827799040,2020-06-29 20:34:32+00:00,flaviobollito,este niño vive en el corte inglés? ,
1277701254752407559,2020-06-29 20:31:32+00:00,jmp261283,El Corte Inglés está en el Rio San Pedro Luis que no te enteras,
1277700915663966210,2020-06-29 20:30:11+00:00,SuperCholloss," REBAJAS EL CORTE INGLÉS Hasta el 50% de descuento en miles de artículos VER CHOLLO: http://bit.ly/35tyL6R Empiezan YA las Rebajas de El Corte Inglés: Hasta 50% de descuento en Moda, Complementos y mucho más ¡CORRE! ",
1277700031034855424,2020-06-29 20:26:40+00:00,AtaraxicaI,Yo para las personas de pelo rizado. En El Corte Inglés sufrí discriminación por ser rizada. En el 2000 eso pasaba.,
1277698618435276802,2020-06-29 20:21:03+00:00,RAMONJOSEREYFER,Masterchef es lo que es GRACIAS a El Corte Inglés......,
1277698351924830208,2020-06-29 20:20:00+00:00,elconfidencial,"Moody's confirma el 'rating' de El Corte Inglés, pero empeora su perspectiva ",
1277698251240636418,2020-06-29 20:19:36+00:00,alfredftmiriam,tía simplemente he buscado el corte inglés y luego en la página web del corte inglés alfred garcía y bajando están dos cosas sin fotos eso es,
1277697842262441984,2020-06-29 20:17:58+00:00,ccma194,"Hola. A mi me ha pasado lo mismo. Nos devolvieron el dinero, pero preparate para sufrir y estar un mes entero luchando y estando todos los dias contactando con ellos para que al final te lo devuelvan. Y suwrte que es por la agencia de El Corte Ingles, si es directamente con la",
1277697310127017985,2020-06-29 20:15:51+00:00,Daniwonder40,En el corte inglés.,
1277695762663645185,2020-06-29 20:09:42+00:00,sandruski_5,"Si si, yo lo he pillado de aquí de antes porque me pilla más cerca que el corte inglés por eso quiero saber si fnac se puede o por el contrario tengo que cambiar al corte inglés, preguntar a universal a ver",
1277695288879337478,2020-06-29 20:07:49+00:00,yensi54,"Pues espero que lo arreglen, porque a mí me ha ido fatal y todavía no me han resuelto la incidencia (anulación de un pedido a las 24 h. de compra. El Corte Inglés tira de chequera para arreglar su venta online: contrata a Goldman Sachs y AT Kearney ",
1277695003977043970,2020-06-29 20:06:42+00:00,Andreavm1981,Yo lo he reservado por el corte ingles,
1277694212260139008,2020-06-29 20:03:33+00:00,paciber1971,"@elcorteinglesac ¿vosotros me decís como va un pedido hecho por Internet? Porque lo del teléfono es increible, 16 llamadas, mas de 1 hora en espera y no he conseguido que me coja el teléfono nadie, sólo una maquinita. Desde luego, esto no es El Corte Inglés que yo conocía.",
1277694055397371917,2020-06-29 20:02:55+00:00,DondecomprarV, ¡Hoy en Oferta ! Asics Nina El Corte Ingles https://dondecomprar.vip/mejores-chollos/asics-nina-el-corte-ingles/?utm_source=ReviveOldPost&amp;utm_medium=social&amp;utm_campaign=ReviveOldPost #chollos #barato,
1277694054462078981,2020-06-29 20:02:55+00:00,DondecomprarV, ¡Hoy en Oferta ! Abrigos Norway El Corte Ingles https://dondecomprar.vip/mejores-chollos/abrigos-norway-el-corte-ingles/?utm_source=ReviveOldPost&amp;utm_medium=social&amp;utm_campaign=ReviveOldPost #chollos #barato,
1277693629134516224,2020-06-29 20:01:14+00:00,s1m3n,Pues sigo igual. El vale caduca en 2 horas. De una empresa como el el corte inglés se espera más.,
1277693496447680517,2020-06-29 20:00:42+00:00,AraBogart,Tenemos que juntar y cuando tengámos vacuna arrasamos con el corte inglés,
1277693428940275712,2020-06-29 20:00:26+00:00,Celi_black,"Cuando compré el que lleva ruedas como una maleta, me costó unos 80€, de tamaño es grandecito, lo compré en el corte inglés.",
1277691946241318913,2020-06-29 19:54:33+00:00,agentescanarias,Moody's deja en perspectiva negativa el ráting de El Corte Inglés ,
1277689984884056066,2020-06-29 19:46:45+00:00,anonimousECI,"Moody's confirma el rating de El Corte Inglés, pero empeora su perspectiva por el Covid ",
1277688289517060097,2020-06-29 19:40:01+00:00,KikeFinanzas,Moody's mantiene el rating a El Corte Inglés pese al impacto del Covid-19 #Ibex,
1277688006439317504,2020-06-29 19:38:53+00:00,Saruca_78,"Yo fui a Valle Real el primer sábado de playa a mediodía: todo vacío y aún así no estuve cómoda. También fui el viernes pasado a El Corte Inglés a última hora, para no encontrar gente. Supongo que nos acostubraremos.",
1277686554304135168,2020-06-29 19:33:07+00:00,_Laguna_Loire_,Jamas reservéis nada en el corte ingles. Se exceden de sus posibilidades. A mi me la liaron con la coleccionista de FFXV,
1277686366848106496,2020-06-29 19:32:22+00:00,oshigete0,currículum el corte inglés: hola soy pesada ,
1277685832392912896,2020-06-29 19:30:15+00:00,SuperCholloss, REBAJAS EL CORTE INGLÉS Hasta -50% DTO. en Ropa Deportiva de marca VER CHOLLO: https://bit.ly/2AA1NYE Tienes disponible por tiempo limitado una promoción exclusiva donde podrás comprar ropa de primeras marcas con descuentos de hasta el 50%. ¡Que ahorro!,
1277684812812292096,2020-06-29 19:26:12+00:00,DondecomprarV, ¡Hoy en Oferta ! Bolso Purificacion Garcia El Corte Ingles https://dondecomprar.vip/mejores-chollos/bolso-purificacion-garcia-el-corte-ingles/?utm_source=ReviveOldPost&amp;utm_medium=social&amp;utm_campaign=ReviveOldPost #chollos #barato,
1277681929555521537,2020-06-29 19:14:44+00:00,mlvillarquide,Dos cosas diré: bolsa de El Corte Inglés tan vieja como la campaña navideña del 2018 llena a su vez de bolsas y cosas que no se veían y alto grado de irascibilidad. Sabéis de lo que hablo.,
1277681191001493506,2020-06-29 19:11:48+00:00,SolanumTuberosL,POR FIN ME DEVUELVE EL DINERO EL CORTE INGLES PRRO.,
1277680953700372481,2020-06-29 19:10:52+00:00,ConchaArriete,"Yo pienso comprarlo, por favor indique el titulo y si está en El Corte Inglés o las Librerías donde poder encontrarlo. Gracia.",
1277680508177190912,2020-06-29 19:09:05+00:00,Beauvier_,"Pues eso digo yo. A mí una vez, en El Corte Inglés: perdí el equilibrio saliendo de las escaleras mecánicas y gracias al chico de atrás que si no...",
1277679132575518720,2020-06-29 19:03:37+00:00,bess642,El Corte ingles,
1277678243747958784,2020-06-29 19:00:06+00:00,SuperCholloss,Zapatillas Running de marca con hasta el 50% en El Corte Inglés #Chollos #Ofertas #Descuentos #Gangas VER CHOLLO https://bit.ly/2Vu70J4 ,
1277677703576027136,2020-06-29 18:57:57+00:00,MishkaNilo,"Aunque los clientes de tarjeta tienen que gastar 35€ para que sea gratuito, aún así el aparcamiento lo gestiona una empresa privada y no el corte inglés.",
1277677397232496640,2020-06-29 18:56:44+00:00,pepepadial,I'm at El Corte Inglés - Edificio Hogar in Málaga w/ @anichy,
1277677291741548548,2020-06-29 18:56:19+00:00,pepepadial,I'm at El Corte Inglés in Málaga w/ @anichy,
1277676946512662528,2020-06-29 18:54:56+00:00,yolandamorenobr,Yo lo he reservado en el corte ingles,
1277676114102583296,2020-06-29 18:51:38+00:00,TaarabtGod,Acabei de ver o JJ passar aqui à frente do El Corte Inglés!,
