id,date,username,text,geo
1255640710847401985,2020-04-29 23:30:48+00:00,camilaperezv13,yo nunca lo he hecho en el corte inglés JAJAJAJAJAJAJAJAJAJAJAJAAJAJAJAJAJAJAJAJAJAJA AI ,
1255636516111560706,2020-04-29 23:14:08+00:00,VicenteToms14,O q de n sair a rua bb n haha eu aguento me na minha casa n sou paneliero que vou do el corte ingles ate Alvalade bem tmb pais responsáveis,
1255633358748553216,2020-04-29 23:01:35+00:00,Marina47083380,@pablocasado_ @PSOE @podemos @sanchezcastejon dice el corte inglés que quieren abrir en fase 1 Como el pequeño http://comercio.No puede http://ser.Es injusto y no sólo por la cantidad de gente Por una vez los pequeños primero,
1255632958758752257,2020-04-29 23:00:00+00:00,ainderlab,"Lo #RecomiendoLeer Iron Man vs.Emprendedor el libro que habla sobre el cliente del futuro, también disponible en la Casa del Libro y en el Corte Inglés #emprender #emprendedores #emprendedoras #ainderup#startup vía http://bit.ly/2Rz66XD",
1255632084313440261,2020-04-29 22:56:32+00:00,yurmailof,"Si el corte inglés pone algo a un precio alto o fuera de mercado no me voy a quejar, claro que no. Simplemente no se lo compro y pasado un tiempo, cuando hayan vendido menos unidades de las planeadas, harán ofertas.",
1255626420551737345,2020-04-29 22:34:01+00:00,jarfaiterbot,de robajas en el corte inglés,
1255621645655592964,2020-04-29 22:15:03+00:00,alber1983can,"Jajajaja pero esas reglas no se pueden cambiar , son trabajadores igual . Y en todas las empresas por si no lo sabías. En El Corte Inglés nada más entrar a trabajar si no estás en un sindicato te afilian a fetico. Sabes quien le firma el convenio ?",
1255618350375473153,2020-04-29 22:01:57+00:00,nomepidas,La patronal de El Corte Inglés o Ikea apuesta por abrir sus tiendas desde la fase 1. ⁦@libertaddigital⁩ ⁦@el_pais⁩ ⁦@20m⁩ ⁦@eldiarioes⁩ ⁦@laSextaTV⁩ ⁦@jordievole⁩,
1255617468263018496,2020-04-29 21:58:27+00:00,jonalde,El famoso marketing con corazón... El Corte Inglés lo ha manejado espléndidamente por ejemplo,
1255616969417637890,2020-04-29 21:56:28+00:00,Beacanarias,@elcorteinglesac aquí ni te llaman....un pedido q estará en el limbo y el otro un poltergeist...y lo q pido es una llamada...como ha cambiado El Corte Inglés....ya no es el grande q siempre te solucionan...o te ponen pegas o no te llaman....como dicen q lo harán...q decepción!!,
1255614373516718082,2020-04-29 21:46:09+00:00,iosinformacion,"Eso es verdad, en El Corte Inglés, según lo abres ya no se puede devolver, a no ser fallo de fábrica, pero seamos sinceros, cuando compras algo de Apple ya sabes de antemano que lo quieres y que te lo vas a quedar, yo por lo menos Jajajaja",
1255612976540901376,2020-04-29 21:40:36+00:00,Alesgonzalez,"Hoy, en Quiero perder clientes, @elcorteingles. Acompañadme a ver esta triste historia. Viernes tarde, mi móvil agoniza. Me pongo a consultar varias webs (amazon, corte ingles, aliexpress, gearbest...), y por precio y ""entrega garantizada"" elijo el corte ingles.",
1255611006824460288,2020-04-29 21:32:46+00:00,McCagonlow,"Entre Mercadona, El Corte Inglés i Primafrio, està quedant maco el reportatge d'empreses de puta merda a Antena 3 #EnPrimeraLínea",
1255610809436299264,2020-04-29 21:31:59+00:00,CCOOVecisa,Desde la Sección Sindical de CCOO en Viajes El Corte Inglés no damos crédito a la desinformación por parte de la Empresa en los temas que afectan al personal en relación a los ERTEs que nos afectan. ,
1255610682063704064,2020-04-29 21:31:29+00:00,Blensantisteban,Departamento RRHH de Viajes El Corte Inglés: VECISA no informa a sus emplead@s - ¡Firma la petición! http://chng.it/V7jSYSTZ via @change_es #ccoovecisa #CCOOseMueve #bastaya,
