id,date,username,text,geo
1233540745719681025,2020-02-28 23:53:26+00:00,mar___sol,No pierdan la oportunidad de comprarlo rebajado de precio !!!! En en El corte Inglés #MAP_OF_THE__SOUL_7,
1233532660976377856,2020-02-28 23:21:18+00:00,Gigifengshui,"""SENSACIONES"" llega a Radio Realejos. A partir del lunes podrás sintonizar y oír todo acerca sobre la exposición que inauguraré el 3 de marzo en la Sala de Ámbito Cultura de El Corte Inglés.También puedes entrar http://www.gigifengshui.es/exposici&#xF3;n @Gigifengshui #gigifengshui",
1233530631327506433,2020-02-28 23:13:15+00:00,mubis_es,"Para el que le interese... la gente de la web de El Corte Inglés nos dijo que en la oferta de hoy que no entraban las reservas y por eso dijimos que había exclusiones, porque siempre hay quejas cuando no entra todo lo que tiene ficha en la tienda. ",
1233529901040513025,2020-02-28 23:10:20+00:00,ARetail,Omnicanalidad: La adecuación de El Corte Inglés al nuevo comprador https://www.america-retail.com/ecuador/omnicanalidad-la-adecuacion-de-el-corte-ingles-al-nuevo-comprador/,
1233529699218972672,2020-02-28 23:09:32+00:00,the_manfly,Con esto del #brexit me han pedido el pasaporte para entrar en El Corte Inglés...,
1233524138171654151,2020-02-28 22:47:26+00:00,_lion14,Meca contándome que Isa había ido al corte inglés a comprar las tabletas nuevas de Nestlé y que en el corte inglés no quedaban de Dinosaurus: ,
1233523998132035584,2020-02-28 22:46:53+00:00,chicaagridulce1,"Buenas noches, os quiero enseñar la muestra o mejor dicho minitalla de la crema de día de Elizabeth Arden, que he recogido en el corte Inglés de Castellana. Me enviaron un mensaje invitándome a conocer su renovado… https://www.instagram.com/p/B9ILn5WinNV/?igshid=4697mqfjdwn5",
1233523883233468419,2020-02-28 22:46:26+00:00,danrruva725,"no quedaba presente en el corte inglés y me lo compré en la tienda, la pulsera la vais a vender en los conciertos??",
1233522821436932096,2020-02-28 22:42:13+00:00,venuspiscis77,El Corte Inglés ni de coña despedirá a 30000 empleados. Siempre los recoloca en otros centros. Lo que está haciendo son acuerdos a los empleados que con 61 años se quieran ir porque en 2018 se acabó la jubilación anticipada parcial.,
1233517658903064576,2020-02-28 22:21:42+00:00,ncdn_negocios,El Corte Inglés retira unos yogures de Lactalis Nestlé ante el riesgo de contener trozos de goma http://dlvr.it/RQxx5B DonfelixSPM #donfelix,
1233515180505665538,2020-02-28 22:11:51+00:00,zepequenoocrl,Clarinha se é no el corte ingles ainda dou de barato. Mas todos outros... ,
1233514462965006343,2020-02-28 22:09:00+00:00,antonioIII4,"@PabloCarrilloL hola Pablo, en 1990 ESPAÑA elaboró un Plan Nacional de desarrollo del Tenis , el manual de es te plan en dos gruesos tomos lo vendían en el corte inglés , ahí se unieron la Federación , el gobierno y patrocinadores y ya ves los resultados en los últimos años",
1233508124734173186,2020-02-28 21:43:49+00:00,Argenta21,"Una marca como El Corte Inglés no debería tener como imagen a un personaje asociado a tantos escándalos. Pero permíteme que te diga que el porte, presencia, don de gentes y saber estar de Baris Arduc encaja a la perfección con la política de la empresa. Lo mismo que Kivanç",
1233504649690451974,2020-02-28 21:30:00+00:00,TribunaSal, El Corte Inglés celebra el año bisiesto con una venta especial que solo ocurre cada cuatro años http://bit.ly/2VuGL5X @Adrian_rl,
1233504536687501312,2020-02-28 21:29:33+00:00,anabelendomin13,Yo le compre está mañana en el corte inglés de la calle constitución.,
1233502111310241793,2020-02-28 21:19:55+00:00,thunderratz,Que? Hypercor? Part of El Corte Ingles? Or one I don't know about. I like Supercor but they're too expensive.,
