id,date,username,text,geo,valor,fecha
1244723824303566848,2020-03-30 20:31:00+00:00,ElHuffPost,"Dia, Alcampo, Carrefour o El Corte Inglés: los supermercados que permiten hacer compra online ",,0,2020/03/30
1244722221622460417,2020-03-30 20:24:38+00:00,AnaFerradas96,Foto de archivo De cuando éramos libres y nos íbamos de compras jcesar85_ #yomequedoencasa #todosaldrábien en El Corte Inglés https://www.instagram.com/p/B-Xv_ImClax/?igshid=7d7a6j2435xw,,0,2020/03/30
1244721982924640256,2020-03-30 20:23:41+00:00,JonesyKitten,"Yo me encontré este en la basura, con el precio del El Corte Inglés y todo. Se lo llevé a mi madre como si se lo hubiera comprado y ya lleva entretenida 6 años. ",,0,2020/03/30
1244721109292982273,2020-03-30 20:20:12+00:00,HijodelaVirgenn,estaba mirando para hacerme la compra online e ir a recogerla en el corte ingles de Preciados. Fue pensar al camino de mi casa a Sol y CHASS: un bajón,,0,2020/03/30
1244719921621340165,2020-03-30 20:15:29+00:00,CarlaPicodeMont,Mañana a las 20h el PSOE estará firmando hilos chorras en El Corte Inglés de Preciados. ,,0,2020/03/30
1244717877023957000,2020-03-30 20:07:22+00:00,Laaaauuuraa,"TAMARA , LA JUEGOS - ¿Tengo los ojos rojos? - ¿Quieres jugar? Tiene todos los juegos disponibles del movil - Nos maquillará cuando nos casemos - Esta en el Corte Ingles siempre - Un dia se cayo y se le movió el moño 8km - Tan pronto te hace una dieta que un make up ",,0,2020/03/30
1244716219627962369,2020-03-30 20:00:47+00:00,AlfieBarna,"Esos mismos. Dos virus, el segundo de ellos irreal, firmando esa tésis, igual que Fraudez firmaba vicepresidencias en El Corte Inglés. Vamos directos a otra catástrofe peor aún. ",,0,2020/03/30
1244715637764763649,2020-03-30 19:58:28+00:00,Lrl_Lau,Alguien se ha dado cuenta de que ya no es primavera ni en el corte inglés?,,0,2020/03/30
1244715474463703040,2020-03-30 19:57:49+00:00,mspinto92,Normalmente las compro en tienda física de El Corte Inglés ,,0,2020/03/30
1244714774820278272,2020-03-30 19:55:02+00:00,JhonSnowDae,BBVA-Mercadona-Inditex-Santander-El Corte Inglés-SEAT-Ikea-H&amp;M-Garnier-Huawei-Mayoral-Xiaomi-Iberdrola-Iberia-Naturgy-Mango-L’Oreal.. La solidaridad es CAPITALISTA Y tú !? Q has aportado tu? @PabloIglesias @MonederoJC @agarzon @pnique @jordievole @WyomingTV @IreneMontero,,0,2020/03/30
1244714263731716098,2020-03-30 19:53:00+00:00,ente_pernicioso,"La periodsta @mmendizabal1, beberá Estrella de Galicia, pero nunca, nunca más pisará El Corte Inglés. Mamen, ERTE o no ERTE. ",,0,2020/03/30
1244710893767794689,2020-03-30 19:39:37+00:00,marta_escrig,"Mis vecinos, que para que no falte la colección primavera-verano de El Corte Inglés, los están exponiendo ellos en el rellano. ",,0,2020/03/30
1244710498509025280,2020-03-30 19:38:03+00:00,nextepRetail,El Corte Inglés podría activar un nuevo ERTE http://dlvr.it/RSryNN via @FNW_ES,,0,2020/03/30
1244709719366938633,2020-03-30 19:34:57+00:00,RamnSenra,Ábalos estará firmando palillos de dientes mañana a las 12.00h en el Corte Inglés de Castellana...,,0,2020/03/30
1244706737879425026,2020-03-30 19:23:06+00:00,dc5fd0556e6242b,El Corte Inglés aplica otro ERTE para un máximo de 33.000 personas ,,0,2020/03/30
1244706012344483840,2020-03-30 19:20:13+00:00,Notengosuelto,[LISTA] 20% descuento en juguetes Jurassic World Lego y Mattel - El Corte Inglés https://www.notengosuelto.com/juguetes-jurassic-world,,0,2020/03/30
1244705944757587971,2020-03-30 19:19:57+00:00,Anonimo_Abogado, ÚLTIMA HORA | Pablo Iglesias firmará bloqueos en El Corte Inglés de Preciados. Hará una interrupción a su cuarentena interruptiva. ,,0,2020/03/30
1244703987967942657,2020-03-30 19:12:10+00:00,julencin2000,"NICE, puedo hacer la compra online en Carrefour y la recojo el 15 de abril LOL Y El Corte Inglés me cuenta que Atención Primaria no tiene prioridad, que sólo ""primera línea"". Estoy del lenguaje de guerra un poco hasta el moño eh.",,1,2020/03/30
1244703975523393537,2020-03-30 19:12:07+00:00,LuisFelipeP1970,"Me ha pasado lo mismo hace 15 días y he cogido una Electrolux en el Corte Ingles por poco menos de 300 pavos, y de momento, de maravilla",,0,2020/03/30
1244703548207706113,2020-03-30 19:10:26+00:00,GAhorra,[LISTA] 20% descuento en juguetes Jurassic World Lego y Mattel - El Corte Inglés https://ift.tt/3bDC1Qi,,0,2020/03/30
1244701526599163912,2020-03-30 19:02:24+00:00,TotsUnits1899,"Y si, otras empresas hacen ERTES porque no quieren pagar de sus beneficios como hace Inditex o El Corte Inglés. Tu sigue creyendo que hay dinero en caja, espero que tus cuentas las gestiones más realistamente",,0,2020/03/30
