id_text,created_at_tweet,name_account,text,geo,valor,fecha,objetividad,subjetividad,Tweet_novacias
1258352213107359745,2020-05-07 11:05:21+00:00,ComMkNews," El Corte Inglés, Día y Alcampo, las marcas que más aumentan las ventas online #COVID19 #VentasOnline @elcorteingles @DIA_Esp @alcampo https://comunicacionmarketing.es/actualidad/07/05/2020/el-corte-ingles-dia-y-alcampo-las-marcas-que-mas-aumentan-las-ventas-online/13279.html Vía @ComMkNews",,0,2020/05/07,0.0,0.0,corte inglés día alcampo marcas aumentan ventas online covid ventasonline elcorteingles diaesp alcampo httpscomunicacionmarketingesactualidadelcorteinglesdiayalcampolasmarcasquemasaumentanlasventasonlinehtml vía commknews
1258314674006884352,2020-05-07 08:36:11+00:00,AlfonsoZanahori,El Corte Inglés e IKEA donan ropa de cama para ayudar en la crisis del coronavirus ,,0,2020/05/07,0.0,0.0,corte inglés ikea donan ropa cama ayudar crisis coronavirus
1258131927460126723,2020-05-06 20:30:01+00:00,huelva_info,Así prepara El Corte Inglés su reapertura http://huelvai.info/gc0h83 @elcorteingles #Coronavirus #Huelva,,0,2020/05/06,0.0,0.0,así prepara corte inglés reapertura httphuelvaiinfogch elcorteingles coronavirus huelva
1258092044997791745,2020-05-06 17:51:32+00:00,PUTABESTIA,"A mí me pasó con un MacBook en el Corte Inglés me fui con el sin darme cuenta hasta que el ""segurata"" empezó a correr detrás de mí, pero yo corría más que él, porque yo fui campeón de España de salto con pertiga. El Covid-19 lo venceremos en todos/odes/jodes.",,0,2020/05/06,0.0,0.0,pasó macbook corte inglés darme cuenta segurata empezó correr detrás corría campeón españa salto pertiga covid venceremos todosodesjodes
1258051819181355008,2020-05-06 15:11:41+00:00,ActValenciana,Minut de silenci en El Corte Inglés de València per les víctimes del coronavirus http://zpr.io/tcMHp,,0,2020/05/06,0.0,0.0,minut silenci corte inglés valència per víctimes coronavirus httpzpriotcmhp
1258050595078000640,2020-05-06 15:06:49+00:00,csinformacion,Clientes y empleados de El Corte Inglés en Castellón guardarán un minuto de silencio por las víctimas del Covid-19 ,,0,2020/05/06,0.0,0.0,clientes empleados corte inglés castellón guardarán minuto silencio víctimas covid 
1258050307139002370,2020-05-06 15:05:41+00:00,ActValenciana,Minut de silenci en El Corte Inglés Castelló per les víctimes del coronavirus http://zpr.io/tcMnt,,0,2020/05/06,0.0,0.0,minuto silencio corte inglés castellón víctimas coronavirus httpzpriotcmnt
1258034029149880321,2020-05-06 14:01:00+00:00,ideal_granada, #Coronavirus El Corte Inglés planea su reapertura inminente. Estas son todas las medidas que van a tomar. ¿Cómo va a cambiar comprar ropa y otros artículos? ,,0,2020/05/06,0.0,0.0,coronavirus corte inglés planea reapertura inminente todas medidas van tomar cómo va cambiar comprar ropa artículos
1258030002878046208,2020-05-06 13:45:00+00:00,los_replicantes,Así está reformando El Corte Inglés sus centros comerciales para adaptarse al coronavirus https://bit.ly/2Y5Atez,,0,2020/05/06,0.0,0.0,así reformando corte inglés centros comerciales adaptarse coronavirus httpsbitlyyatez
1257990521278148608,2020-05-06 11:08:07+00:00,JDIAZCARDIEL,"El Corte Inglés, @elcorteingles y Danone, líderes en RSE durante el coronavirus @AdviceStrategic",,0,2020/05/06,0.0,0.0,corte inglés elcorteingles danone líderes rse coronavirus advicestrategic
1257990158730788866,2020-05-06 11:06:40+00:00,JDIAZCARDIEL,"El Corte Inglés, Mercadona y Danone, líderes en RSE durante el coronavirus según @AdviceStrategic https://www.foodretail.es/_556dc2ee",,1,2020/05/06,0.1875,0.5535714285714286,corte inglés mercadona danone líderes rse coronavirus según advicestrategic httpswwwfoodretailesdcee
1257989553509617664,2020-05-06 11:04:16+00:00,diegocoquillat, DELIVERY: El Corte Inglés entra en el envío de comida preparada a domicilio de la mano de Deliveroo +info: http://diegocoquillat.com/coronavirus_restaurantes/ #hostelería #restaurantes #Coronavirus #COVID19 #covid19españa,,0,2020/05/06,0.0,0.0,delivery corte inglés entra envío comida preparada domicilio mano deliveroo info httpdiegocoquillatcomcoronavirusrestaurantes hostelería restaurantes coronavirus covid covidespaña
1257939485670682625,2020-05-06 07:45:19+00:00,IKIGAI03626739,"¿Cuándo abrirán El Corte Inglés, Decathlon, Media Markt, Ikea y Leroy Merlin? https://www.elcorreo.com/economia/cuando-abre-decathlon-ikea-corte-ingles-media-markt-leroy-merlin-cuarentena-coronavirus-20200505115258-nt.html?edtn=bizkaia#vca=fixed-btn&amp;vso=rrss&amp;vmc=tw&amp;vli=Economía vía @elcorreo_com",,0,2020/05/06,0.0,0.07692307692307693, cuándo abrirán corte inglés decathlon media markt ikea leroy merlin httpswwwelcorreocomeconomiacuandoabredecathlonikeacorteinglesmediamarktleroymerlincuarentenacoronavirusnthtmledtnbizkaiavcafixedbtnampvsorrssampvmctwampvlieconomía vía elcorreocom
1257910261610135554,2020-05-06 05:49:11+00:00,JDIAZCARDIEL,"El Corte Inglés, Mercadona y Danone, líderes en RSE durante el coronavirus ",,0,2020/05/06,0.0,0.0,corte inglés mercadona danone líderes rse coronavirus
1257889240727326720,2020-05-06 04:25:40+00:00,adsuara,El Corte Inglés tomará la temperatura a sus clientes y empleados en la reapertura https://www.lainformacion.com/empresas/coronavirus-corte-ingles-tomara-temperatura-clientes-empleados-reapertura-desescalada/6564266?utm_source=twitter.com&amp;utm_medium=socialshare&amp;utm_campaign=desktop&amp;via=la_informacion vía @la_informacion,,0,2020/05/06,0.0,0.0,corte inglés tomará temperatura clientes empleados reapertura httpswwwlainformacioncomempresascoronaviruscorteinglestomaratemperaturaclientesempleadosreaperturadesescaladautmsourcetwittercomamputmmediumsocialshareamputmcampaigndesktopampvialainformacion vía lainformacion
1257727341171822593,2020-05-05 17:42:20+00:00,cronicaglobal,"El estudio sitúa a Inditex, Amazon, BBVA, El Corte Inglés, Telepizza o al Real Madrid entre las marcas que destacan por estar haciendo algo positivo para ayudar a la sociedad durante esta crisis #Coronavirus #COVID19 #Empresas #Marcas #Ayudas",,0,2020/05/05,0.0,0.0,estudio sitúa inditex amazon bbva corte inglés telepizza real madrid marcas destacan haciendo positivo ayudar sociedad crisis coronavirus covid empresas marcas ayudas
1257716688843427840,2020-05-05 17:00:00+00:00,food_retail,El Corte Inglés tomará la temperatura a sus clientes https://buff.ly/2L115pf… @elcorteingles #Desescalada #centrocomercial #seguridad #salud #COVID19 #Retail,,0,2020/05/05,0.0,0.0,corte inglés tomará temperatura clientes httpsbufflylpf elcorteingles desescalada centrocomercial seguridad salud covid retail
1257695526419652610,2020-05-05 15:35:55+00:00,JDIAZCARDIEL,"Las 12 empresas de gran consumo que lideran la lucha contra el coronavirus. El Corte Inglés, Hipercor y Supercor, Mercadona, Eroski, DIA, Lidl, Ahorramas, Carrefour, Alcampo y miles de tiendas de proximidad ",,0,2020/05/05,0.0,0.0,empresas gran consumo lideran lucha coronavirus corte inglés hipercor supercor mercadona eroski dia lidl ahorramas carrefour alcampo miles tiendas proximidad
