date,fecha,geo,id,text,username,valor
2020-03-30 20:34:49+00:00,2020/03/30,,1.2447247864770437e+18,"A mí esto de las mantas, las almohadas, no sé. El ejército tiene mogollón de ellas nuevas, y creo que Ikea y el Corte Inglés donaron también buen montón",gominola49,0.0
2020-03-30 20:33:31+00:00,2020/03/30,,1.2447244598037586e+18,"Fran aka Paco -Mide 34 metros aprox -Siempre en eva -Combina el basket con ser un ciego de manera envidiable -Pone nota a los chistes -Humor absurdo y malo pero te hace reir -Vetado en el corte inglés de Vigo ""Eso está bien, hay que cuidarse"" ",Bronquitisss,0.0
2020-03-30 20:31:00+00:00,2020/03/30,,1.2447238243035668e+18,"Dia, Alcampo, Carrefour o El Corte Inglés: los supermercados que permiten hacer compra online ",ElHuffPost,0.0
2020-03-30 20:24:38+00:00,2020/03/30,,1.2447222216224604e+18,Foto de archivo De cuando éramos libres y nos íbamos de compras jcesar85_ #yomequedoencasa #todosaldrábien en El Corte Inglés https://www.instagram.com/p/B-Xv_ImClax/?igshid=7d7a6j2435xw,AnaFerradas96,0.0
2020-03-30 20:23:41+00:00,2020/03/30,,1.2447219829246403e+18,"Yo me encontré este en la basura, con el precio del El Corte Inglés y todo. Se lo llevé a mi madre como si se lo hubiera comprado y ya lleva entretenida 6 años. ",JonesyKitten,0.0
2020-03-30 20:20:12+00:00,2020/03/30,,1.2447211092929823e+18,estaba mirando para hacerme la compra online e ir a recogerla en el corte ingles de Preciados. Fue pensar al camino de mi casa a Sol y CHASS: un bajón,HijodelaVirgenn,0.0
2020-03-30 20:15:29+00:00,2020/03/30,,1.2447199216213402e+18,Mañana a las 20h el PSOE estará firmando hilos chorras en El Corte Inglés de Preciados. ,CarlaPicodeMont,0.0
2020-03-30 20:07:22+00:00,2020/03/30,,1.244717877023957e+18,"TAMARA , LA JUEGOS - ¿Tengo los ojos rojos? - ¿Quieres jugar? Tiene todos los juegos disponibles del movil - Nos maquillará cuando nos casemos - Esta en el Corte Ingles siempre - Un dia se cayo y se le movió el moño 8km - Tan pronto te hace una dieta que un make up ",Laaaauuuraa,0.0
2020-03-30 20:00:47+00:00,2020/03/30,,1.2447162196279624e+18,"Esos mismos. Dos virus, el segundo de ellos irreal, firmando esa tésis, igual que Fraudez firmaba vicepresidencias en El Corte Inglés. Vamos directos a otra catástrofe peor aún. ",AlfieBarna,0.0
2020-03-30 19:58:28+00:00,2020/03/30,,1.2447156377647636e+18,Alguien se ha dado cuenta de que ya no es primavera ni en el corte inglés?,Lrl_Lau,0.0
